COUNTRY,CITY,YEAR,PM25,latitude,longitude,POPULATION,WBINC16,REGION,CONC_PM25,COLOR_PM25,GEOM
Albania,Vlore,2014,10.27975425,40.40309,19.4862,79513,Upper middle income,Europe (LMIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":19.4862,""y"":40.4031,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Andorra,Escaldes-Engordany,2014,11,42.509694,1.539138,37466,High income,Europe (HIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":1.53914,""y"":42.5097,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Central Coast,2014,5.5,-33.2788887,151.4324951,297713,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":151.432,""y"":-33.2789,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Geelong,2014,7.507529594,-38.17499924,144.3690033,173450,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":144.369,""y"":-38.175,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,La Trobe Valley,2014,9.8,-38.22105789,146.3975372,72396,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":146.398,""y"":-38.2211,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Lower Hunter,2014,7.433333333,-32.79833221,151.6600037,620530,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":151.66,""y"":-32.7983,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Melbourne,2014,7.7,-37.78105545,145.0307007,4203416,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":145.031,""y"":-37.7811,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Upper Hunter,2014,8.433333333,-32.47222137,151.0919495,620530,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":151.092,""y"":-32.4722,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Adelaide,2014,7.1,-34.64607143,138.4885,1255516,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":138.488,""y"":-34.6461,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Albany,2014,6.940751445,-35.011,117.888,26644,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":117.888,""y"":-35.011,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
