COUNTRY,CITY,YEAR,PM25,latitude,longitude,POPULATION,WBINC16,REGION,CONC_PM25,COLOR_PM25,GEOM
Thailand,Loei,2016,34.66926416,13.76393629,100.529078,21013,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":100.529,""y"":13.7639,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Nonthaburi,2014,25.30668093,13.80715561,100.5063171,1173870,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":100.506,""y"":13.8072,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Samut Prakan,2014,28.22668258,13.59917164,100.5973282,1261530,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":100.597,""y"":13.5992,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Pathum Thani,2014,26.69715791,14.03751183,100.6051254,1074058,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":100.605,""y"":14.0375,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Samut Sakhon,2016,31.86548485,13.550478,100.264254,531887,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":100.264,""y"":13.5505,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Ayutthaya,2016,29.63454577,14.34936668,100.5685355,28591,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":100.569,""y"":14.3494,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Phra Nakhon Si Ayutthaya,2014,30.59049344,14.3522253,100.5653534,803599,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":100.565,""y"":14.3522,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Chon Buri,2016,26.96766648,13.2178207,100.9435778,518103,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":100.944,""y"":13.2178,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Ratchaburi,2016,30.36322175,13.532555,99.814873,36169,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":99.8149,""y"":13.5326,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Saraburi,2016,51.87858646,14.60331069,100.9021555,633460,Upper middle income,South-East Asia (LMIC),>50,darkred,"{""srid"":4326,""version"":1,""points"":[{""x"":100.902,""y"":14.6033,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Rayong,2014,22.80382238,12.67152119,101.2758713,674393,Upper middle income,South-East Asia (LMIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":101.276,""y"":12.6715,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Sa Kaeo,2016,22.84624456,13.68902848,102.5062069,552187,Upper middle income,South-East Asia (LMIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":102.506,""y"":13.689,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Nakhon Ratchasima,2014,28.36573028,14.97972584,102.0983047,2620517,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":102.098,""y"":14.9797,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Nakhon Sawan,2016,35.51562659,15.70784823,100.1319285,1072756,Upper middle income,South-East Asia (LMIC),35-<50,red,"{""srid"":4326,""version"":1,""points"":[{""x"":100.132,""y"":15.7078,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Khon Kaen,2014,28.36573028,16.44532967,102.8352509,1790049,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":102.835,""y"":16.4453,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Myanmar,Mawlamyaing,2012,68.96765793,16.45431709,97.64395905,253734,Lower middle income,South-East Asia (LMIC),>50,darkred,"{""srid"":4326,""version"":1,""points"":[{""x"":97.644,""y"":16.4543,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Phrae,2016,32.64787286,18.12614,100.1654,454083,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":100.165,""y"":18.1261,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Lampang,2016,32.44189933,18.3084127,99.66584917,382281,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":99.6658,""y"":18.3084,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Surat Thani,2016,23.10519267,9.136807951,99.32071594,1040230,Upper middle income,South-East Asia (LMIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":99.3207,""y"":9.13681,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Lamphun,2014,24.47239475,18.56744385,99.00799561,405468,Upper middle income,South-East Asia (LMIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":99.008,""y"":18.5674,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Thailand,Chiang Mai,2016,33.50140943,18.81446096,98.98084261,1678284,Upper middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":98.9808,""y"":18.8145,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Myanmar,Yangon,2015,33.88625478,16.821633,96.184949,4801930,Lower middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":96.1849,""y"":16.8216,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
